time,open,high,low,close,T3
1725370200,560.47,560.81,559.93,560.24,NaN
1725370500,560.26,560.32,559.42,559.6105,NaN
1725370800,559.595,559.86,559.24,559.73,NaN
1725371100,559.68,559.69,559.16,559.3,NaN
1725371400,559.28,559.29,558.14,558.41,NaN
1725371700,558.42,559.205,558.21,559.08,NaN
1725372000,559.12,559.14,557.09,557.39,NaN
1725372300,557.41,557.67,556.93,557.58,NaN
1725372600,557.56,557.66,556.5,556.54,NaN
1725372900,556.5499,557.07,556.3215,556.95,NaN
1725373200,556.94,557.3,556.72,557,NaN
1725373500,557.01,557.5303,556.75,557.19,NaN
1725373800,557.18,557.18,556.02,556.32,NaN
1725374100,556.33,556.54,556.1,556.25,NaN
1725374400,556.23,556.44,556,556.08,NaN
1725374700,556.09,556.2,555.28,555.29,NaN
1725375000,555.28,555.62,555.1,555.2792,NaN
1725375300,555.27,555.68,555.23,555.3399,NaN
1725375600,555.35,556.2799,555.15,556.155,NaN
1725375900,556.13,556.7895,555.86,556.22,NaN
1725376200,556.2227,556.72,556.1738,556.4099,NaN
1725376500,556.37,556.765,555.95,556.17,NaN
1725376800,556.1496,556.43,555.95,556.13,NaN
1725377100,556.11,556.63,556.02,556.38,NaN
1725377400,556.39,556.61,555.96,556.4,NaN
1725377700,556.41,556.99,556.3,556.45,NaN
1725378000,556.46,556.48,555.73,555.88,NaN
1725378300,555.9,556.29,555.84,555.94,NaN
1725378600,555.93,556.1299,555.66,556.03,NaN
1725378900,556.02,556.15,555.47,555.6,NaN
1725379200,555.59,556.1592,555.56,556.015,NaN
1725379500,556.01,556.22,555.44,555.56,NaN
1725379800,555.55,556.0088,555.21,555.985,NaN
1725380100,555.96,556.5,555.8,556.14,NaN
1725380400,556.12,556.3,555.75,555.79,NaN
1725380700,555.77,555.77,555.25,555.65,NaN
1725381000,555.65,555.72,555.39,555.4999,NaN
1725381300,555.49,555.67,555.17,555.475,NaN
1725381600,555.48,555.51,554.96,555.22,NaN
1725381900,555.205,555.228,554.755,555.08,NaN
1725382200,555.08,555.249,554.91,555.0699,NaN
1725382500,555.0602,555.15,554.82,554.9,NaN
1725382800,554.88,555.19,554.81,555.1468,NaN
1725383100,555.11,555.61,555.05,555.41,NaN
1725383400,555.43,555.48,554.68,554.8599,NaN
1725383700,554.85,555.1699,554.76,555.15,NaN
1725384000,555.17,555.87,555.0601,555.8,NaN
1725384300,555.81,555.82,555.55,555.67,NaN
1725384600,555.665,555.73,554.7,554.7705,NaN
1725384900,554.77,555.49,554.7501,555.43,NaN
1725385200,555.42,555.42,554.51,554.735,NaN
1725385500,554.74,554.9194,554.56,554.74,NaN
1725385800,554.74,554.91,554.63,554.72,NaN
1725386100,554.71,554.88,554.26,554.34,NaN
1725386400,554.33,554.38,553.23,553.5399,NaN
1725386700,553.53,553.7299,553.33,553.4,NaN
1725387000,553.39,553.63,553.34,553.44,NaN
1725387300,553.43,553.62,553.07,553.14,NaN
1725387600,553.1495,553.5393,552.94,553.14,NaN
1725387900,553.15,553.45,553.01,553.04,NaN
1725388200,553.04,553.82,552.93,553.585,NaN
1725388500,553.5801,553.77,553.17,553.33,NaN
1725388800,553.33,553.48,553.04,553.085,NaN
1725389100,553.09,553.35,552.94,552.99,NaN
1725389400,553.01,553.11,552.63,552.6801,NaN
1725389700,552.7,552.8568,552.47,552.6301,NaN
1725390000,552.63,552.93,552.5301,552.7,NaN
1725390300,552.71,553.025,552.54,552.58,NaN
1725390600,552.6,553.16,552.56,552.73,NaN
1725390900,552.74,552.818,552.58,552.655,NaN
1725391200,552.655,553.04,552.595,552.72,NaN
1725391500,552.74,552.77,552.31,552.53,NaN
1725391800,552.53,552.755,552.16,552.19,NaN
1725392100,552.17,552.2047,550.99,551.14,NaN
1725392400,551.11,551.18,550.27,550.92,NaN
1725392700,550.92,550.95,549.51,550.79,NaN
1725393000,550.825,551.29,550.38,550.925,NaN
1725393300,550.92,552.25,550.81,552.16,NaN
1725456600,550.2,551.41,550.03,551.39,NaN
1725456900,551.4,551.63,551.035,551.15,NaN
1725457200,551.15,552.36,551.13,551.54,NaN
1725457500,551.52,552.205,551.235,552.115,NaN
1725457800,552.1,552.41,551.67,552.35,NaN
1725458100,552.345,552.555,551.89,552.49,NaN
1725458400,552.54,552.54,550.025,551.533,NaN
1725458700,551.52,552.68,550.83,552.43,NaN
1725459000,552.45,552.78,551.46,551.8914,NaN
1725459300,551.94,552.65,551.16,551.719,NaN
1725459600,551.72,552.35,551.42,552.21,NaN
1725459900,552.26,552.49,551.55,552.49,NaN
1725460200,552.49,553.0329,552.22,553.0329,NaN
1725460500,553.03,553.43,552.73,553.08,NaN
1725460800,553.04,553.53,552.8,553.53,NaN
1725461100,553.53,553.6193,552.54,553.035,NaN
1725461400,553.06,553.37,552.96,553.354,NaN
1725461700,553.36,554,553.32,553.98,NaN
1725462000,553.97,554.38,553.76,554.33,NaN
1725462300,554.33,554.43,553.37,553.39,NaN
1725462600,553.4,553.78,553.01,553.195,NaN
1725462900,553.2,553.43,552.87,553.295,NaN
1725463200,553.3095,553.45,552.59,552.905,NaN
1725463500,552.88,553.02,552.0905,552.14,NaN
1725463800,552.13,552.33,551.42,552.11,NaN
1725464100,552.13,552.26,551.68,551.795,NaN
1725464400,551.8,551.9999,551.49,551.691,NaN
1725464700,551.69,552.31,551.69,551.86,NaN
1725465000,551.89,552.39,551.8,552.2773,NaN
1725465300,552.24,552.24,551.34,551.8499,NaN
1725465600,551.82,551.95,551.23,551.29,NaN
1725465900,551.3,551.6695,551.07,551.61,NaN
1725466200,551.62,551.86,551.09,551.1101,NaN
1725466500,551.13,551.92,551.13,551.5815,NaN
1725466800,551.59,552.2399,551.48,552.17,NaN
1725467100,552.18,552.4172,551.82,552.12,NaN
1725467400,552.11,552.99,552.0708,552.95,NaN
1725467700,552.97,553.09,552.7518,552.8,NaN
1725468000,552.79,552.8501,551.74,551.78,NaN
1725468300,551.78,552.15,551.47,551.9999,NaN
1725468600,552,552.47,551.82,552.31,NaN
1725468900,552.32,552.38,551.9,552.34,NaN
1725469200,552.315,552.34,551.46,551.62,NaN
1725469500,551.62,552.13,551.61,552.03,NaN
1725469800,552,552.28,551.61,551.71,NaN
1725470100,551.68,551.92,551.33,551.66,NaN
1725470400,551.64,552.065,551.39,551.475,NaN
1725470700,551.46,551.54,551.04,551.215,NaN
1725471000,551.2,551.33,551,551.17,NaN
1725471300,551.15,551.38,550.95,551.16,NaN
1725471600,551.18,551.5,550.88,550.93,NaN
1725471900,550.93,551.65,550.93,551.14,NaN
1725472200,551.16,551.2,550.6811,551.0199,NaN
1725472500,551,551.15,550.75,550.95,NaN
1725472800,550.96,551.07,550.67,550.755,NaN
1725473100,550.75,551.23,550.58,550.9177,NaN
1725473400,550.92,551.3,550.77,551.25,NaN
1725473700,551.2292,551.43,550.76,550.83,NaN
1725474000,550.84,551.13,550.6,551.09,NaN
1725474300,551.06,551.52,551.01,551.36,NaN
1725474600,551.35,551.74,550.9,550.94,NaN
1725474900,550.94,550.99,550.32,550.4,NaN
1725475200,550.4,550.79,550.37,550.4401,NaN
1725475500,550.44,550.82,550.26,550.5401,NaN
1725475800,550.54,550.66,550.08,550.485,NaN
1725476100,550.49,550.75,550.02,550.07,NaN
1725476400,550.07,550.19,549.67,549.79,NaN
1725476700,549.802,549.94,549.52,549.63,NaN
1725477000,549.64,549.98,549.46,549.65,NaN
1725477300,549.66,550.04,549.63,549.725,NaN
1725477600,549.71,550.53,549.71,550.52,NaN
1725477900,550.52,550.83,550.1,550.72,NaN
1725478200,550.73,550.75,550.08,550.34,NaN
1725478500,550.34,550.69,550.08,550.5999,NaN
1725478800,550.59,551.26,550.5539,551.115,NaN
1725479100,551.1,551.34,550.76,551.23,NaN
1725479400,551.24,551.96,550.73,551.125,NaN
1725479700,551.1,551.87,550.81,550.84,NaN
1725543000,550.89,551.55,550.68,550.7,NaN
1725543300,550.71,552.13,550.65,551.42,NaN
1725543600,551.43,551.78,551.4,551.59,NaN
1725543900,551.6,552.27,550.91,551.26,NaN
1725544200,551.31,551.85,551.13,551.8,NaN
1725544500,551.79,552.09,551.63,551.96,NaN
1725544800,551.97,553.36,551.97,553.04,NaN
1725545100,553,553.58,552.71,552.9,NaN
1725545400,552.89,552.93,551.6,551.82,NaN
1725545700,551.81,552.41,551.56,552.29,NaN
1725546000,552.32,553.55,552.305,553.45,NaN
